Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
40,,2018-01-10,28-137,HOU,,POR,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2018-01-12,28-139,HOU,@,PHO,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,,2018-01-15,28-142,HOU,@,LAC,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,36,2018-01-18,28-145,HOU,,MIN,W (+18),1,25:51,3,15,.200,1,5,.200,3,3,1.000,1,1,2,7,2,2,2,1,10,7.6,-11
44,37,2018-01-20,28-147,HOU,,GSW,W (+8),1,34:35,8,16,.500,5,9,.556,1,2,.500,0,2,2,8,2,2,6,1,22,16.8,-6
45,38,2018-01-22,28-149,HOU,,MIA,W (+9),1,34:49,10,26,.385,5,13,.385,3,4,.750,0,2,2,5,2,2,6,2,28,14.1,+6
46,39,2018-01-24,28-151,HOU,@,DAL,W (+7),1,32:32,9,16,.563,6,10,.600,1,2,.500,1,4,5,13,1,1,1,1,25,28.3,+30
47,40,2018-01-26,28-153,HOU,@,NOP,L (-2),1,33:56,5,16,.313,1,9,.111,12,14,.857,0,5,5,11,2,1,4,4,23,19.3,-12
48,41,2018-01-28,28-155,HOU,,PHO,W (+11),1,37:57,8,21,.381,3,11,.273,8,12,.667,3,7,10,8,2,1,6,1,27,20.0,+16
49,42,2018-01-30,28-157,HOU,,ORL,W (+7),1,46:26,19,30,.633,5,14,.357,17,18,.944,2,8,10,11,4,1,5,2,60,56.6,+7
50,43,2018-02-01,28-159,HOU,@,SAS,W (+11),1,36:48,10,20,.500,5,12,.417,3,3,1.000,0,2,2,11,1,2,3,1,28,25.3,+18
51,44,2018-02-03,28-161,HOU,@,CLE,W (+32),1,31:08,5,16,.313,1,11,.091,5,5,1.000,0,6,6,9,2,0,4,2,16,12.1,+11
52,45,2018-02-06,28-164,HOU,@,BRK,W (+10),1,34:23,11,23,.478,4,10,.400,10,10,1.000,0,4,4,5,0,1,2,4,36,26.1,-7
53,46,2018-02-07,28-165,HOU,@,MIA,W (+8),1,36:22,13,25,.520,5,12,.417,10,12,.833,0,4,4,6,3,1,4,2,41,32.2,+9
54,47,2018-02-09,28-167,HOU,,DEN,W (+26),1,27:23,7,16,.438,5,11,.455,9,11,.818,1,6,7,11,0,0,5,2,28,23.2,+23
55,48,2018-02-11,28-169,HOU,,DAL,W (+7),1,34:09,6,19,.316,4,13,.308,11,12,.917,0,6,6,5,2,1,3,1,27,20.3,+5
56,49,2018-02-13,28-171,HOU,@,MIN,W (+18),1,35:49,10,20,.500,6,10,.600,8,9,.889,0,6,6,13,0,1,1,2,34,33.4,+11
57,50,2018-02-14,28-172,HOU,,SAC,W (+9),1,35:01,7,19,.368,5,15,.333,9,11,.818,0,9,9,9,2,1,6,2,28,21.6,+14
58,51,2018-02-23,28-181,HOU,,MIN,W (+18),1,34:28,8,24,.333,3,10,.300,12,12,1.000,0,2,2,9,2,0,5,2,31,20.5,
59,52,2018-02-25,28-183,HOU,@,DEN,W (+5),1,37:15,11,20,.550,6,10,.600,13,16,.813,1,7,8,7,1,0,5,2,41,33.1,
